ptr,size,timestamp_alloc,timestamp_free,lifetime_ns,source,active
0x5dedc24f5540,4619,485267989318,485268027538,38220,malloc,0
0x5dedc24f0d60,31,485267990212,485268026779,36567,malloc,0
0x5dedc24fb7a0,4619,485267990893,485267993535,2642,malloc,0
0x5dedc24f1c90,31,485267991421,485268025376,33955,malloc,0
0x5dedc24f02b0,72,485267991970,485267995332,3362,malloc,0
0x5dedc24f0ad0,31,485267992414,485267994510,2096,malloc,0
0x5dedc24f5540,2752,485268030639,485268038141,7502,malloc,0
0x5dedc24f0b40,50,485268032275,485268037420,5145,malloc,0
0x5dedc24fb7a0,2752,485268033129,0,494033179,malloc,1
0x5dedc24f0b80,50,485268033594,485268036546,2952,malloc,0
0x5dedc24f3be0,72,485268034285,0,494034470,malloc,1
0x5dedc24f0b00,50,485268034653,0,494035370,malloc,1
0x5dedc24fea60,14348,485268046756,485268080443,33687,malloc,0
0x5dedc24f3c30,65,485268061427,485268079768,18341,malloc,0
0x5dedc2502280,14348,485268065653,0,494008122,malloc,1
0x5dedc24f3c80,65,485268075526,485268078966,3440,malloc,0
0x5dedc24fc270,72,485268076691,0,493999668,malloc,1
0x5dedc24fc2c0,65,485268077000,0,494000623,malloc,1
0x5dedc2505aa0,15380,485268087082,485268122031,34949,malloc,0
0x5dedc24f3c30,64,485268100963,485268121367,20404,malloc,0
0x5dedc25096c0,15380,485268104852,0,493976464,malloc,1
0x5dedc24f3c80,64,485268117923,485268120627,2704,malloc,0
0x5dedc24fc310,72,485268118522,0,493965274,malloc,1
0x5dedc24fc360,64,485268118837,0,493966286,malloc,1
0x5dedc250d2e0,29088,485268126900,0,493959477,malloc,1
0x5dedc24f3c30,67,485268238453,485268242570,4117,malloc,0
0x5dedc24f3c80,72,485268239248,0,493849571,malloc,1
0x5dedc24fc3b0,67,485268239953,0,493850128,malloc,1
0x5dedc24fea60,12952,485268243645,0,493847734,malloc,1
0x5dedc24f3c30,62,485268245984,485268247765,1781,malloc,0
0x5dedc2501d00,72,485268246558,0,493847352,malloc,1
0x5dedc2501d50,62,485268246792,0,493848404,malloc,1
0x5dedc2514490,21640,485268849951,0,493246561,malloc,1
0x5dedc24f3c30,57,485268911513,485268915086,3573,malloc,0
0x5dedc2501da0,72,485268912116,0,493186944,malloc,1
0x5dedc2501df0,57,485268912360,0,493187965,malloc,1
0x5dedc2519920,44816,485268922410,0,493179226,malloc,1
0x5dedc24f3c30,68,485268964406,485268965993,1587,malloc,0
0x5dedc2501e40,72,485268964840,0,493139345,malloc,1
0x5dedc2501e90,68,485268965038,0,493140356,malloc,1
0x5dedc2524840,43600,485268969626,0,493137021,malloc,1
0x5dedc24f3c30,68,485269022252,485269024575,2323,malloc,0
0x5dedc2501ee0,72,485269022922,0,493086378,malloc,1
0x5dedc2501f30,68,485269023202,0,493087315,malloc,1
0x5dedc252f2a0,40736,485269086952,0,493214986,malloc,1
0x5dedc24f3c30,67,485269126777,485269128951,2174,malloc,0
0x5dedc2501f80,72,485269127113,0,493177978,malloc,1
0x5dedc2501fd0,67,485269127378,0,493178958,malloc,1
0x5dedc25391d0,16968,485269280634,0,493026969,malloc,1
0x5dedc24f3c30,62,485269299568,485269302475,2907,malloc,0
0x5dedc2502020,72,485269300144,0,493010047,malloc,1
0x5dedc2502070,62,485269300530,0,493010850,malloc,1
0x5dedc253d420,30504,485269310098,0,493002578,malloc,1
0x5dedc24f3c30,57,485269332105,485269333556,1451,malloc,0
0x5dedc25020c0,72,485269332491,0,492982720,malloc,1
0x5dedc2502110,57,485269332677,0,492983778,malloc,1
0x5dedc2544b50,51440,485269336598,0,492981135,malloc,1
0x5dedc24f3c30,68,485269379091,485269380334,1243,malloc,0
0x5dedc2502160,72,485269379399,0,492940895,malloc,1
0x5dedc25021b0,68,485269379573,0,492941915,malloc,1
0x5dedc2551450,50416,485269563860,0,492758910,malloc,1
0x5dedc24f3c30,68,485269610567,485269617512,6945,malloc,0
0x5dedc2502200,72,485269610986,0,492714339,malloc,1
0x5dedc24fc400,68,485269612175,0,492714339,malloc,1
0x5dedc24d62a0,472,485269614035,485273308657,3694622,malloc,0
0x5dedc255d950,40736,485269729492,0,492599714,malloc,1
0x5dedc24f3c30,67,485269823068,485269829312,6244,malloc,0
0x5dedc24fc450,72,485269823849,0,492507874,malloc,1
0x5dedc24fc4a0,67,485269827345,0,492505625,malloc,1
0x5dedc2567880,16968,485269832758,0,492501518,malloc,1
0x5dedc24f3c30,62,485269844571,485269846126,1555,malloc,0
0x5dedc24fc4f0,72,485269844881,0,492491943,malloc,1
0x5dedc24fc540,62,485269845117,0,492492958,malloc,1
0x5dedc256bad0,30504,485269925454,0,492413858,malloc,1
0x5dedc24f3c30,57,485269987699,485269990123,2424,malloc,0
0x5dedc24fc590,72,485269988275,0,492353607,malloc,1
0x5dedc24fc5e0,57,485269988546,0,492354583,malloc,1
0x5dedc2573200,51440,485269993283,0,492351155,malloc,1
0x5dedc24f3c30,68,485270052714,485270055517,2803,malloc,0
0x5dedc24fc630,72,485270053472,0,492293528,malloc,1
0x5dedc24fc680,68,485270053986,0,492294264,malloc,1
0x5dedc257fb00,50416,485270223707,0,492125881,malloc,1
0x5dedc24f3c30,68,485270274671,485270280324,5653,malloc,0
0x5dedc24fc6d0,72,485270275372,0,492077020,malloc,1
0x5dedc24fc720,68,485270278541,0,492075066,malloc,1
0x5dedc258c000,32288,485270287824,0,492067027,malloc,1
0x5dedc24f3c30,67,485270312385,485270313965,1580,malloc,0
